AverageTemperature,City,year,month,day
25.655,0,1861,05,01
27.807,0,1861,06,01
27.874,0,1861,07,01
27.198,0,1861,08,01
26.75,0,1861,09,01
26.148,0,1861,10,01
27.405,0,1861,11,01
26.103,0,1861,12,01
25.097,0,1862,01,01
23.567,0,1862,02,01
23.764,0,1862,03,01
24.697,0,1862,04,01
26.154,0,1862,05,01
27.323,0,1862,06,01
27.679,0,1862,07,01
27.275,0,1862,08,01
26.346,0,1862,09,01
25.773,0,1862,10,01
25.744,0,1862,11,01
24.227,0,1862,12,01
24.77,0,1863,01,01
24.601,0,1863,02,01
24.913,0,1863,03,01
24.837,0,1863,04,01
25.546,0,1863,05,01
27.429,0,1863,06,01
27.347,0,1863,07,01
26.991,0,1863,08,01
26.7,0,1863,09,01
26.248,0,1863,10,01
25.919,0,1863,11,01
24.583,0,1863,12,01
23.869,0,1864,01,01
23.841,0,1864,02,01
23.221,0,1864,03,01
24.228,0,1864,04,01
25.601,0,1864,05,01
27.548,0,1864,06,01
27.371,0,1864,07,01
26.907,0,1864,08,01
27.014,0,1864,09,01
26.016,0,1864,10,01
25.853,0,1864,11,01
25.586,0,1864,12,01
25.133,0,1865,01,01
23.92,0,1865,02,01
23.568,0,1865,03,01
24.216,0,1865,04,01
25.914,0,1865,05,01
27.506,0,1865,06,01
27.489,0,1865,07,01
27.446,0,1865,08,01
26.484,0,1865,09,01
26.285,0,1865,10,01
26.494,0,1865,11,01
26.003,0,1865,12,01
25.619,0,1866,01,01
23.616,0,1866,02,01
24.46,0,1866,03,01
24.32,0,1866,04,01
26.004,0,1866,05,01
26.76,0,1866,06,01
27.343,0,1866,07,01
27.239,0,1866,08,01
27.155,0,1866,09,01
26.012,0,1866,10,01
26.003,0,1866,11,01
26.013,0,1866,12,01
25.729,0,1867,01,01
24.758,0,1867,02,01
25.426,0,1867,03,01
24.997,0,1867,04,01
26.327,0,1867,05,01
27.67,0,1867,06,01
27.488,0,1867,07,01
27.487,0,1867,08,01
27.369,0,1867,09,01
26.86,0,1867,10,01
26.473,0,1867,11,01
27.168,0,1867,12,01
25.258,0,1868,01,01
23.533,0,1868,02,01
24.345,0,1868,03,01
24.574,0,1868,04,01
25.696,0,1868,05,01
27.496,0,1868,06,01
27.006,0,1868,07,01
27.199,0,1868,08,01
26.753,0,1868,09,01
26.774,0,1868,10,01
25.204,0,1868,11,01
24.946,0,1868,12,01
25.231,0,1869,01,01
25.661,0,1869,02,01
24.896,0,1869,03,01
25.324,0,1869,04,01
26.402,0,1869,05,01
27.234,0,1869,06,01
27.641,0,1869,07,01
27.045,0,1869,08,01
27.31,0,1869,09,01
26.432,0,1869,10,01
27.499,0,1869,11,01
24.39,0,1869,12,01
24.954,0,1870,01,01
23.98,0,1870,02,01
24.774,0,1870,03,01
24.448,0,1870,04,01
26.399,0,1870,05,01
27.705,0,1870,06,01
27.498,0,1870,07,01
27.148,0,1870,08,01
27.875,0,1870,09,01
26.597,0,1870,10,01
26.006,0,1870,11,01
23.566,0,1870,12,01
24.055,0,1871,01,01
24.308,0,1871,02,01
24.009,0,1871,03,01
24.87,0,1871,04,01
25.671,0,1871,05,01
26.832,0,1871,06,01
27.317,0,1871,07,01
27.963,0,1871,08,01
27.433,0,1871,09,01
26.183,0,1871,10,01
26.599,0,1871,11,01
25.545,0,1871,12,01
23.619,0,1872,01,01
24.287,0,1872,02,01
24.48,0,1872,03,01
24.939,0,1872,04,01
26.904,0,1872,05,01
27.404,0,1872,06,01
27.817,0,1872,07,01
27.21,0,1872,08,01
27.546,0,1872,09,01
26.719,0,1872,10,01
25.159,0,1872,11,01
24.712,0,1872,12,01
23.573,0,1873,01,01
25.98,0,1873,02,01
24.488,0,1873,03,01
23.823,0,1873,04,01
26.709,0,1873,05,01
26.957,0,1873,06,01
27.177,0,1873,07,01
26.953,0,1873,08,01
26.39,0,1873,09,01
26.57,0,1873,10,01
25.156,0,1873,11,01
26.533,0,1873,12,01
24.822,0,1874,01,01
25.483,0,1874,02,01
24.867,0,1874,03,01
23.531,0,1874,04,01
25.333,0,1874,05,01
26.52,0,1874,06,01
26.698,0,1874,07,01
27.742,0,1874,08,01
26.562,0,1874,09,01
26.243,0,1874,10,01
26.679,0,1874,11,01
26.21,0,1874,12,01
23.332,0,1875,01,01
23.837,0,1875,02,01
24.51,0,1875,03,01
23.995,0,1875,04,01
25.958,0,1875,05,01
27.21,0,1875,06,01
27.409,0,1875,07,01
27.293,0,1875,08,01
25.94,0,1875,09,01
26.221,0,1875,10,01
26.493,0,1875,11,01
25.938,0,1875,12,01
25.711,0,1876,01,01
24.416,0,1876,02,01
24.23,0,1876,03,01
24.433,0,1876,04,01
25.654,0,1876,05,01
27.148,0,1876,06,01
27.266,0,1876,07,01
27.266,0,1876,08,01
26.688,0,1876,09,01
26.551,0,1876,10,01
25.492,0,1876,11,01
23.604,0,1876,12,01
24.188,0,1877,01,01
23.712,0,1877,02,01
23.63,0,1877,03,01
24.256,0,1877,04,01
26.094,0,1877,05,01
27.1,0,1877,06,01
27.752,0,1877,07,01
28.145,0,1877,08,01
27.465,0,1877,09,01
27.916,0,1877,10,01
26.389,0,1877,11,01
25.598,0,1877,12,01
25.023,0,1878,01,01
24.587,0,1878,02,01
24.658,0,1878,03,01
25.878,0,1878,04,01
27.238,0,1878,05,01
28.515,0,1878,06,01
27.997,0,1878,07,01
27.255,0,1878,08,01
26.984,0,1878,09,01
27.031,0,1878,10,01
26.864,0,1878,11,01
25.395,0,1878,12,01
25.23,0,1879,01,01
23.667,0,1879,02,01
23.518,0,1879,03,01
24.489,0,1879,04,01
26.121,0,1879,05,01
26.658,0,1879,06,01
27.48,0,1879,07,01
26.999,0,1879,08,01
26.261,0,1879,09,01
26.13,0,1879,10,01
25.982,0,1879,11,01
25.846,0,1879,12,01
24.405,0,1880,01,01
24.106,0,1880,02,01
24.542,0,1880,03,01
24.302,0,1880,04,01
26.585,0,1880,05,01
27.021,0,1880,06,01
27.314,0,1880,07,01
27.038,0,1880,08,01
26.512,0,1880,09,01
26.259,0,1880,10,01
27.029,0,1880,11,01
25.416,0,1880,12,01
23.963,0,1881,01,01
23.75,0,1881,02,01
24.281,0,1881,03,01
24.798,0,1881,04,01
26.257,0,1881,05,01
27.09,0,1881,06,01
27.613,0,1881,07,01
27.176,0,1881,08,01
26.731,0,1881,09,01
26.876,0,1881,10,01
26.936,0,1881,11,01
25.595,0,1881,12,01
25.075,0,1882,01,01
24.722,0,1882,02,01
24.679,0,1882,03,01
24.902,0,1882,04,01
25.431,0,1882,05,01
26.862,0,1882,06,01
27.226,0,1882,07,01
26.557,0,1882,08,01
26.607,0,1882,09,01
26.721,0,1882,10,01
25.527,0,1882,11,01
24.461,0,1882,12,01
23.9,0,1883,01,01
23.475,0,1883,02,01
23.118,0,1883,03,01
24.388,0,1883,04,01
25.202,0,1883,05,01
26.69,0,1883,06,01
26.8,0,1883,07,01
26.617,0,1883,08,01
26.331,0,1883,09,01
26.6,0,1883,10,01
26.118,0,1883,11,01
25.027,0,1883,12,01
23.614,0,1884,01,01
23.356,0,1884,02,01
23.919,0,1884,03,01
24.378,0,1884,04,01
24.397,0,1884,05,01
27.363,0,1884,06,01
27.004,0,1884,07,01
26.539,0,1884,08,01
26.664,0,1884,09,01
26.164,0,1884,10,01
25.838,0,1884,11,01
25.245,0,1884,12,01
24.303,0,1885,01,01
23.785,0,1885,02,01
24.357,0,1885,03,01
23.853,0,1885,04,01
25.606,0,1885,05,01
27.231,0,1885,06,01
27.113,0,1885,07,01
26.814,0,1885,08,01
26.808,0,1885,09,01
26.4,0,1885,10,01
26.06,0,1885,11,01
25.404,0,1885,12,01
24.253,0,1886,01,01
23.399,0,1886,02,01
24.98,0,1886,03,01
24.71,0,1886,04,01
26.259,0,1886,05,01
27.115,0,1886,06,01
27.524,0,1886,07,01
27.24,0,1886,08,01
26.688,0,1886,09,01
26.39,0,1886,10,01
25.584,0,1886,11,01
24.364,0,1886,12,01
23.478,0,1887,01,01
23.844,0,1887,02,01
23.249,0,1887,03,01
23.695,0,1887,04,01
25.716,0,1887,05,01
26.584,0,1887,06,01
26.884,0,1887,07,01
26.845,0,1887,08,01
26.509,0,1887,09,01
25.656,0,1887,10,01
25.945,0,1887,11,01
25.186,0,1887,12,01
24.152,0,1888,01,01
23.587,0,1888,02,01
23.337,0,1888,03,01
23.872,0,1888,04,01
25.366,0,1888,05,01
26.435,0,1888,06,01
27.178,0,1888,07,01
27.15,0,1888,08,01
26.036,0,1888,09,01
26.766,0,1888,10,01
26.317,0,1888,11,01
25.111,0,1888,12,01
24.982,0,1889,01,01
24.973,0,1889,02,01
23.718,0,1889,03,01
24.608,0,1889,04,01
26.134,0,1889,05,01
28.08,0,1889,06,01
27.731,0,1889,07,01
26.961,0,1889,08,01
26.76,0,1889,09,01
25.93,0,1889,10,01
26.247,0,1889,11,01
24.949,0,1889,12,01
25.202,0,1890,01,01
23.68,0,1890,02,01
22.862,0,1890,03,01
24.783,0,1890,04,01
25.93,0,1890,05,01
26.491,0,1890,06,01
27.141,0,1890,07,01
26.607,0,1890,08,01
26.297,0,1890,09,01
26.161,0,1890,10,01
25.64,0,1890,11,01
24.657,0,1890,12,01
24.381,0,1891,01,01
24.397,0,1891,02,01
23.65,0,1891,03,01
23.689,0,1891,04,01
25.446,0,1891,05,01
26.653,0,1891,06,01
26.997,0,1891,07,01
26.916,0,1891,08,01
26.875,0,1891,09,01
25.473,0,1891,10,01
26.286,0,1891,11,01
25.724,0,1891,12,01
24.348,0,1892,01,01
24.739,0,1892,02,01
23.479,0,1892,03,01
24.878,0,1892,04,01
26.368,0,1892,05,01
27.499,0,1892,06,01
27.424,0,1892,07,01
27.099,0,1892,08,01
26.602,0,1892,09,01
26.252,0,1892,10,01
25.683,0,1892,11,01
25.426,0,1892,12,01
23.701,0,1893,01,01
24.51,0,1893,02,01
23.416,0,1893,03,01
25.245,0,1893,04,01
25.63,0,1893,05,01
26.456,0,1893,06,01
26.435,0,1893,07,01
26.984,0,1893,08,01
26.891,0,1893,09,01
26.08,0,1893,10,01
26.429,0,1893,11,01
24.641,0,1893,12,01
24.97,0,1894,01,01
24.326,0,1894,02,01
23.387,0,1894,03,01
24.423,0,1894,04,01
26.104,0,1894,05,01
27.336,0,1894,06,01
27.078,0,1894,07,01
27.137,0,1894,08,01
27.173,0,1894,09,01
26.384,0,1894,10,01
25.543,0,1894,11,01
25.106,0,1894,12,01
24.208,0,1895,01,01
23.805,0,1895,02,01
24.088,0,1895,03,01
24.717,0,1895,04,01
26.022,0,1895,05,01
27.211,0,1895,06,01
27.233,0,1895,07,01
27.419,0,1895,08,01
27.185,0,1895,09,01
26.31,0,1895,10,01
27.488,0,1895,11,01
25.513,0,1895,12,01
25.051,0,1896,01,01
23.616,0,1896,02,01
24.594,0,1896,03,01
24.977,0,1896,04,01
26.819,0,1896,05,01
27.78,0,1896,06,01
27.903,0,1896,07,01
27.623,0,1896,08,01
27.368,0,1896,09,01
27.594,0,1896,10,01
27.562,0,1896,11,01
24.988,0,1896,12,01
25.286,0,1897,01,01
25.243,0,1897,02,01
25.44,0,1897,03,01
25.148,0,1897,04,01
26.239,0,1897,05,01
27.361,0,1897,06,01
27.235,0,1897,07,01
27.717,0,1897,08,01
26.403,0,1897,09,01
27.289,0,1897,10,01
27.263,0,1897,11,01
26.057,0,1897,12,01
24.923,0,1898,01,01
23.461,0,1898,02,01
24.421,0,1898,03,01
23.973,0,1898,04,01
26.022,0,1898,05,01
26.67,0,1898,06,01
26.719,0,1898,07,01
26.745,0,1898,08,01
26.704,0,1898,09,01
25.993,0,1898,10,01
26.667,0,1898,11,01
25.27,0,1898,12,01
24.177,0,1899,01,01
23.551,0,1899,02,01
24.243,0,1899,03,01
24.057,0,1899,04,01
26.299,0,1899,05,01
26.009,0,1899,06,01
27.182,0,1899,07,01
27.221,0,1899,08,01
26.575,0,1899,09,01
26.816,0,1899,10,01
26.255,0,1899,11,01
25.393,0,1899,12,01
24.917,0,1900,01,01
24.924,0,1900,02,01
24.182,0,1900,03,01
24.415,0,1900,04,01
25.975,0,1900,05,01
28.106,0,1900,06,01
27.112,0,1900,07,01
27.189,0,1900,08,01
27.148,0,1900,09,01
27.268,0,1900,10,01
26.736,0,1900,11,01
24.997,0,1900,12,01
25.005,0,1901,01,01
24.252,0,1901,02,01
24.003,0,1901,03,01
24.05,0,1901,04,01
26.354,0,1901,05,01
27.916,0,1901,06,01
27.227,0,1901,07,01
27.173,0,1901,08,01
27.058,0,1901,09,01
26.288,0,1901,10,01
26.113,0,1901,11,01
24.676,0,1901,12,01
24.23,0,1902,01,01
24.24,0,1902,02,01
23.773,0,1902,03,01
25.105,0,1902,04,01
26.235,0,1902,05,01
27.843,0,1902,06,01
26.779,0,1902,07,01
27.449,0,1902,08,01
27.081,0,1902,09,01
26.471,0,1902,10,01
26.708,0,1902,11,01
25.302,0,1902,12,01
24.218,0,1903,01,01
24.813,0,1903,02,01
24.047,0,1903,03,01
25.069,0,1903,04,01
26.154,0,1903,05,01
26.542,0,1903,06,01
27.167,0,1903,07,01
26.565,0,1903,08,01
26.66,0,1903,09,01
25.84,0,1903,10,01
25.888,0,1903,11,01
25.186,0,1903,12,01
24.57,0,1904,01,01
23.947,0,1904,02,01
23.625,0,1904,03,01
23.863,0,1904,04,01
25.04,0,1904,05,01
26.441,0,1904,06,01
26.299,0,1904,07,01
26.266,0,1904,08,01
26.575,0,1904,09,01
26.26,0,1904,10,01
25.951,0,1904,11,01
25.182,0,1904,12,01
23.952,0,1905,01,01
24.249,0,1905,02,01
22.25,0,1905,03,01
24.04,0,1905,04,01
27.107,0,1905,05,01
27.062,0,1905,06,01
27.125,0,1905,07,01
27.277,0,1905,08,01
26.683,0,1905,09,01
27.66,0,1905,10,01
28.003,0,1905,11,01
24.526,0,1905,12,01
23.477,0,1906,01,01
22.952,0,1906,02,01
24.108,0,1906,03,01
24.296,0,1906,04,01
26.515,0,1906,05,01
27.273,0,1906,06,01
27.605,0,1906,07,01
26.922,0,1906,08,01
26.897,0,1906,09,01
26.885,0,1906,10,01
26.063,0,1906,11,01
24.83,0,1906,12,01
24.796,0,1907,01,01
23.752,0,1907,02,01
23.953,0,1907,03,01
24.242,0,1907,04,01
26.005,0,1907,05,01
27.096,0,1907,06,01
27.031,0,1907,07,01
26.909,0,1907,08,01
26.754,0,1907,09,01
27.047,0,1907,10,01
27.066,0,1907,11,01
24.958,0,1907,12,01
25.053,0,1908,01,01
24.904,0,1908,02,01
25.063,0,1908,03,01
24.796,0,1908,04,01
25.628,0,1908,05,01
27.311,0,1908,06,01
26.575,0,1908,07,01
27.1,0,1908,08,01
26.771,0,1908,09,01
26.081,0,1908,10,01
25.882,0,1908,11,01
25.996,0,1908,12,01
24.291,0,1909,01,01
24.271,0,1909,02,01
25.138,0,1909,03,01
24.853,0,1909,04,01
27.053,0,1909,05,01
27.387,0,1909,06,01
27.775,0,1909,07,01
27.19,0,1909,08,01
26.056,0,1909,09,01
26.651,0,1909,10,01
26.742,0,1909,11,01
25.616,0,1909,12,01
23.873,0,1910,01,01
24.327,0,1910,02,01
22.579,0,1910,03,01
24.001,0,1910,04,01
25.321,0,1910,05,01
26.489,0,1910,06,01
26.844,0,1910,07,01
27.312,0,1910,08,01
26.451,0,1910,09,01
26.495,0,1910,10,01
26.552,0,1910,11,01
24.966,0,1910,12,01
25.034,0,1911,01,01
24.865,0,1911,02,01
24.173,0,1911,03,01
24.651,0,1911,04,01
24.789,0,1911,05,01
27.359,0,1911,06,01
26.823,0,1911,07,01
27.404,0,1911,08,01
27.434,0,1911,09,01
27.292,0,1911,10,01
27.911,0,1911,11,01
25.832,0,1911,12,01
25.122,0,1912,01,01
23.424,0,1912,02,01
25.164,0,1912,03,01
25.628,0,1912,04,01
26.32,0,1912,05,01
26.319,0,1912,06,01
26.773,0,1912,07,01
26.975,0,1912,08,01
26.59,0,1912,09,01
26.84,0,1912,10,01
25.048,0,1912,11,01
25.989,0,1912,12,01
24.918,0,1913,01,01
24.467,0,1913,02,01
24.191,0,1913,03,01
23.188,0,1913,04,01
24.847,0,1913,05,01
26.04,0,1913,06,01
26.357,0,1913,07,01
26.94,0,1913,08,01
26.811,0,1913,09,01
26.661,0,1913,10,01
26.498,0,1913,11,01
25.987,0,1913,12,01
24.702,0,1914,01,01
24.673,0,1914,02,01
23.633,0,1914,03,01
23.788,0,1914,04,01
25.01,0,1914,05,01
26.448,0,1914,06,01
27.157,0,1914,07,01
27.451,0,1914,08,01
26.493,0,1914,09,01
27.054,0,1914,10,01
26.851,0,1914,11,01
26.542,0,1914,12,01
24.669,0,1915,01,01
24.508,0,1915,02,01
23.112,0,1915,03,01
24.295,0,1915,04,01
26.97,0,1915,05,01
28.086,0,1915,06,01
27.461,0,1915,07,01
27.214,0,1915,08,01
26.551,0,1915,09,01
26.25,0,1915,10,01
26.949,0,1915,11,01
25.733,0,1915,12,01
26.036,0,1916,01,01
24.566,0,1916,02,01
24.309,0,1916,03,01
24.036,0,1916,04,01
26.396,0,1916,05,01
27.76,0,1916,06,01
26.764,0,1916,07,01
26.321,0,1916,08,01
26.258,0,1916,09,01
26.545,0,1916,10,01
26.225,0,1916,11,01
26.219,0,1916,12,01
25.663,0,1917,01,01
24.762,0,1917,02,01
24.44,0,1917,03,01
24.155,0,1917,04,01
26.326,0,1917,05,01
26.944,0,1917,06,01
27.116,0,1917,07,01
27.066,0,1917,08,01
26.872,0,1917,09,01
26.515,0,1917,10,01
25.171,0,1917,11,01
25.662,0,1917,12,01
24.651,0,1918,01,01
25.149,0,1918,02,01
23.321,0,1918,03,01
24.278,0,1918,04,01
26.143,0,1918,05,01
26.517,0,1918,06,01
27.023,0,1918,07,01
26.657,0,1918,08,01
26.772,0,1918,09,01
27.473,0,1918,10,01
27.039,0,1918,11,01
26.208,0,1918,12,01
23.738,0,1919,01,01
24.996,0,1919,02,01
23.821,0,1919,03,01
24.288,0,1919,04,01
26.784,0,1919,05,01
27.37,0,1919,06,01
27.222,0,1919,07,01
27.933,0,1919,08,01
27.121,0,1919,09,01
27.804,0,1919,10,01
27.036,0,1919,11,01
26.415,0,1919,12,01
25.014,0,1920,01,01
25.508,0,1920,02,01
25.18,0,1920,03,01
25.506,0,1920,04,01
25.391,0,1920,05,01
26.408,0,1920,06,01
27.66,0,1920,07,01
27.233,0,1920,08,01
27.12,0,1920,09,01
26.804,0,1920,10,01
26.877,0,1920,11,01
25.868,0,1920,12,01
24.753,0,1921,01,01
24.046,0,1921,02,01
24.468,0,1921,03,01
25.092,0,1921,04,01
26.02,0,1921,05,01
27.699,0,1921,06,01
27.169,0,1921,07,01
27.292,0,1921,08,01
26.856,0,1921,09,01
26.658,0,1921,10,01
26.94,0,1921,11,01
26.399,0,1921,12,01
25.516,0,1922,01,01
25.335,0,1922,02,01
25.042,0,1922,03,01
25.345,0,1922,04,01
26.812,0,1922,05,01
26.814,0,1922,06,01
27.74,0,1922,07,01
27.313,0,1922,08,01
26.808,0,1922,09,01
26.402,0,1922,10,01
27.036,0,1922,11,01
26.143,0,1922,12,01
25.392,0,1923,01,01
24.678,0,1923,02,01
24.487,0,1923,03,01
24.89,0,1923,04,01
26.775,0,1923,05,01
27.076,0,1923,06,01
27.287,0,1923,07,01
27.614,0,1923,08,01
27.679,0,1923,09,01
26.288,0,1923,10,01
26.96,0,1923,11,01
26.362,0,1923,12,01
25.296,0,1924,01,01
24.537,0,1924,02,01
24.759,0,1924,03,01
25.205,0,1924,04,01
26.054,0,1924,05,01
26.592,0,1924,06,01
27.458,0,1924,07,01
27.462,0,1924,08,01
26.581,0,1924,09,01
26.554,0,1924,10,01
25.924,0,1924,11,01
26.037,0,1924,12,01
24.771,0,1925,01,01
24.338,0,1925,02,01
24.148,0,1925,03,01
24.965,0,1925,04,01
25.823,0,1925,05,01
26.666,0,1925,06,01
27.444,0,1925,07,01
27.79,0,1925,08,01
26.922,0,1925,09,01
27.481,0,1925,10,01
26.858,0,1925,11,01
24.661,0,1925,12,01
24.801,0,1926,01,01
24.315,0,1926,02,01
25.099,0,1926,03,01
24.284,0,1926,04,01
26.093,0,1926,05,01
27.482,0,1926,06,01
27.605,0,1926,07,01
27.582,0,1926,08,01
26.712,0,1926,09,01
27.296,0,1926,10,01
26.484,0,1926,11,01
26.033,0,1926,12,01
24.39,0,1927,01,01
24.358,0,1927,02,01
24.393,0,1927,03,01
24.507,0,1927,04,01
26.951,0,1927,05,01
26.653,0,1927,06,01
27.517,0,1927,07,01
27.394,0,1927,08,01
26.338,0,1927,09,01
26.686,0,1927,10,01
26.441,0,1927,11,01
26.085,0,1927,12,01
25.095,0,1928,01,01
25.194,0,1928,02,01
24.273,0,1928,03,01
25.011,0,1928,04,01
26.402,0,1928,05,01
27.705,0,1928,06,01
27.695,0,1928,07,01
27.87,0,1928,08,01
26.943,0,1928,09,01
27.285,0,1928,10,01
26.566,0,1928,11,01
26.082,0,1928,12,01
24.883,0,1929,01,01
24.713,0,1929,02,01
23.901,0,1929,03,01
24.929,0,1929,04,01
26.383,0,1929,05,01
27.201,0,1929,06,01
27.257,0,1929,07,01
27.078,0,1929,08,01
27.024,0,1929,09,01
26.647,0,1929,10,01
27.883,0,1929,11,01
26.745,0,1929,12,01
26.448,0,1930,01,01
25.006,0,1930,02,01
24.849,0,1930,03,01
23.878,0,1930,04,01
26.701,0,1930,05,01
27.11,0,1930,06,01
27.46,0,1930,07,01
27.73,0,1930,08,01
27.821,0,1930,09,01
27.16,0,1930,10,01
26.75,0,1930,11,01
26.629,0,1930,12,01
25.302,0,1931,01,01
24.813,0,1931,02,01
24.778,0,1931,03,01
24.524,0,1931,04,01
25.916,0,1931,05,01
27.122,0,1931,06,01
27.073,0,1931,07,01
27.507,0,1931,08,01
26.224,0,1931,09,01
27.112,0,1931,10,01
26.33,0,1931,11,01
26.397,0,1931,12,01
25.093,0,1932,01,01
25.037,0,1932,02,01
23.888,0,1932,03,01
24.284,0,1932,04,01
26.715,0,1932,05,01
27.904,0,1932,06,01
27.476,0,1932,07,01
27.638,0,1932,08,01
27.409,0,1932,09,01
26.899,0,1932,10,01
25.563,0,1932,11,01
26.135,0,1932,12,01
25.406,0,1933,01,01
25.767,0,1933,02,01
25.071,0,1933,03,01
25.785,0,1933,04,01
27.364,0,1933,05,01
28.207,0,1933,06,01
28.195,0,1933,07,01
27.2,0,1933,08,01
26.599,0,1933,09,01
26.374,0,1933,10,01
26.168,0,1933,11,01
25.445,0,1933,12,01
25.671,0,1934,01,01
25.286,0,1934,02,01
23.299,0,1934,03,01
23.889,0,1934,04,01
25.541,0,1934,05,01
27.485,0,1934,06,01
27.851,0,1934,07,01
27.594,0,1934,08,01
26.91,0,1934,09,01
26.618,0,1934,10,01
26.273,0,1934,11,01
26.64,0,1934,12,01
24.592,0,1935,01,01
23.013,0,1935,02,01
23.859,0,1935,03,01
24.257,0,1935,04,01
26.251,0,1935,05,01
26.31,0,1935,06,01
27.351,0,1935,07,01
26.978,0,1935,08,01
27.025,0,1935,09,01
26.885,0,1935,10,01
27.042,0,1935,11,01
26.067,0,1935,12,01
26.108,0,1936,01,01
25.102,0,1936,02,01
24.955,0,1936,03,01
24.647,0,1936,04,01
25.807,0,1936,05,01
28.183,0,1936,06,01
27.386,0,1936,07,01
27.691,0,1936,08,01
26.915,0,1936,09,01
27.048,0,1936,10,01
27.271,0,1936,11,01
26.178,0,1936,12,01
26.89,0,1937,01,01
25.838,0,1937,02,01
25.052,0,1937,03,01
24.853,0,1937,04,01
26.139,0,1937,05,01
26.848,0,1937,06,01
27.349,0,1937,07,01
27.729,0,1937,08,01
27.251,0,1937,09,01
27.335,0,1937,10,01
26.962,0,1937,11,01
26.167,0,1937,12,01
25.171,0,1938,01,01
24.819,0,1938,02,01
